Ticket,Open Time,Type,Size,Item,Price,S / L,T / P,Close Time,Price,Commission,Taxes,Swap,Profit
78265501,12.04.2024 09:45,buy,0.50,gbpusdc,1.25221,0.00000,1.24901,15.04.2024 12:11,1.24901,-2.50,0.00,-0.74,-160.00
78267661,12.04.2024 12:30,buy,0.61,gbpusdc,1.24918,0.00000,1.24901,15.04.2024 12:11,1.24902,-3.05,0.00,-0.90,-9.76
78268577,12.04.2024 15:45,buy,0.67,gbpusdc,1.24600,0.00000,1.24901,15.04.2024 12:11,1.24901,-3.35,0.00,-0.99,201.67
78270613,12.04.2024 17:30,buy,0.73,gbpusdc,1.24336,0.00000,1.24901,15.04.2024 12:11,1.24901,-3.65,0.00,-1.08,412.45
78276551,12.04.2024 09:45,buy,0.05,gbpusdc,1.25221,0.00000,1.24927,15.04.2024 12:47,1.24927,-0.25,0.00,-0.07,-14.70
78276576,15.04.2024 12:15,buy,0.55,gbpusdc,1.24873,0.00000,1.24927,15.04.2024 12:47,1.24927,-2.75,0.00,0.00,29.70
78261188,11.04.2024 17:30,buy,0.50,gbpusdc,1.25275,0.00000,1.25300,11.04.2024 18:51,1.25301,-2.50,0.00,0.00,13.00
78257545,11.04.2024 13:00,sell,0.50,gbpusdc,1.25347,0.00000,1.25322,11.04.2024 13:15,1.25316,-2.50,0.00,0.00,15.50
78257737,11.04.2024 13:45,sell,0.50,gbpusdc,1.25352,0.00000,1.25327,11.04.2024 13:46,1.25327,-2.50,0.00,0.00,12.50
78257674,11.04.2024 13:30,sell,0.50,gbpusdc,1.25385,0.00000,1.25360,11.04.2024 13:35,1.25358,-2.50,0.00,0.00,13.50
78257805,11.04.2024 14:00,sell,0.50,gbpusdc,1.25392,0.00000,1.25367,11.04.2024 14:21,1.25365,-2.50,0.00,0.00,13.50
78262347,11.04.2024 19:00,buy,0.50,gbpusdc,1.25346,0.00000,1.25371,11.04.2024 19:25,1.25371,-2.50,0.00,0.00,12.50
78262696,11.04.2024 19:30,buy,0.50,gbpusdc,1.25353,0.00000,1.25378,11.04.2024 19:48,1.25378,-2.50,0.00,0.00,12.50
78257898,11.04.2024 14:30,sell,0.50,gbpusdc,1.25410,0.00000,1.25385,11.04.2024 14:35,1.25385,-2.50,0.00,0.00,12.50
78260891,11.04.2024 17:15,sell,0.50,gbpusdc,1.25412,0.00000,1.25387,11.04.2024 17:15,1.25387,-2.50,0.00,0.00,12.50
78262901,11.04.2024 20:00,buy,0.50,gbpusdc,1.25375,0.00000,1.25400,11.04.2024 20:02,1.25408,-2.50,0.00,0.00,16.50
78260475,11.04.2024 17:00,sell,0.50,gbpusdc,1.25495,0.00000,1.25470,11.04.2024 17:00,1.25469,-2.50,0.00,0.00,13.00
78258066,11.04.2024 14:45,sell,0.50,gbpusdc,1.25360,0.00000,1.25501,11.04.2024 16:58,1.25496,-2.50,0.00,0.00,-68.00
78259473,11.04.2024 16:00,sell,0.55,gbpusdc,1.25676,0.00000,1.25501,11.04.2024 16:58,1.25496,-2.75,0.00,0.00,99.00
78263042,11.04.2024 20:15,buy,0.50,gbpusdc,1.25478,0.00000,1.25503,11.04.2024 20:43,1.25510,-2.50,0.00,0.00,16.00
78263180,11.04.2024 20:45,buy,0.50,gbpusdc,1.25514,0.00000,1.25539,11.04.2024 20:52,1.25540,-2.50,0.00,0.00,13.00
78257055,11.04.2024 11:30,buy,0.50,gbpusdc,1.25662,0.00000,1.25542,11.04.2024 15:30,1.25547,-2.50,0.00,0.00,-57.50
78257469,11.04.2024 12:45,buy,0.55,gbpusdc,1.25386,0.00000,1.25542,11.04.2024 15:30,1.25547,-2.75,0.00,0.00,88.55
78263242,11.04.2024 21:00,buy,0.50,gbpusdc,1.25544,0.00000,1.25569,11.04.2024 21:02,1.25570,-2.50,0.00,0.00,13.00
78251353,10.04.2024 17:45,buy,0.50,gbpusdc,1.25708,0.00000,1.25572,11.04.2024 10:21,1.25573,-2.50,0.00,-2.21,-67.50
78252542,10.04.2024 18:45,buy,0.55,gbpusdc,1.25401,0.00000,1.25572,11.04.2024 10:21,1.25573,-2.75,0.00,-2.43,94.60
78256302,11.04.2024 10:30,buy,0.50,gbpusdc,1.25565,0.00000,1.25590,11.04.2024 10:50,1.25591,-2.50,0.00,0.00,13.00
78256741,11.04.2024 11:00,buy,0.50,gbpusdc,1.25613,0.00000,1.25638,11.04.2024 11:00,1.25641,-2.50,0.00,0.00,14.00
78256899,11.04.2024 11:15,buy,0.50,gbpusdc,1.25661,0.00000,1.25686,11.04.2024 11:19,1.25687,-2.50,0.00,0.00,13.00
78234941,09.04.2024 20:00,sell,0.50,gbpusdc,1.26692,0.00000,1.26667,09.04.2024 20:14,1.26666,-2.50,0.00,0.00,13.00
78235055,09.04.2024 20:15,sell,0.50,gbpusdc,1.26660,0.00000,1.26782,10.04.2024 15:30,1.26614,-2.50,0.00,-0.17,23.00
78241055,10.04.2024 12:00,sell,0.55,gbpusdc,1.26940,0.00000,1.26782,10.04.2024 15:30,1.26614,-2.75,0.00,0.00,179.30
78238718,10.04.2024 08:00,buy,0.50,gbpusdc,1.26772,0.00000,1.26797,10.04.2024 09:21,1.26801,-2.50,0.00,0.00,14.50
78239538,10.04.2024 10:15,buy,0.50,gbpusdc,1.26811,0.00000,1.26836,10.04.2024 10:30,1.26843,-2.50,0.00,0.00,16.00
78239132,10.04.2024 09:30,buy,0.50,gbpusdc,1.26814,0.00000,1.26839,10.04.2024 10:02,1.26842,-2.50,0.00,0.00,14.00
78239748,10.04.2024 10:45,buy,0.50,gbpusdc,1.26847,0.00000,1.26872,10.04.2024 10:51,1.26874,-2.50,0.00,0.00,13.50
78239950,10.04.2024 11:00,buy,0.50,gbpusdc,1.26889,0.00000,1.26914,10.04.2024 11:56,1.26914,-2.50,0.00,0.00,12.50
78241250,10.04.2024 12:15,buy,0.50,gbpusdc,1.26902,0.00000,1.26927,10.04.2024 12:27,1.26928,-2.50,0.00,0.00,13.00
78241524,10.04.2024 12:30,buy,0.50,gbpusdc,1.26929,0.00000,1.26954,10.04.2024 12:42,1.26960,-2.50,0.00,0.00,15.50
